Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,AgeBand,OrgIncomeBucket,DeptAvgIncome,RelIncomeRatio,DeptIncomeBucket,Gender_Marital,RoleTenureBand,RecentPromotion,Promo_AgeBand,EducationLevel,EnvSatLevel,CommuteBand,JobHopperBand,MgrTenureBand,Attrition
41,Travel_Rarely,Sales,1,2,Life Sciences,2,Female,3,2,Sales Executive,4,Single,5993,8,Yes,3,1,0,8,0,1,6,4,0,5,39-43,6k-10k,6959.17264573991,0.861165587502509,Below Avg,Female_Single,3-5 yrs,Yes,Yes_39-43,College,Medium,0-5 km,6+,3–5 yrs,Yes
49,Travel_Frequently,Research & Development,8,1,Life Sciences,3,Male,2,2,Research Scientist,2,Married,5130,1,No,4,4,1,10,3,3,10,7,1,7,49-54,6k-10k,6281.252861602497,0.816716045832171,Below Avg,Male_Married,6-8 yrs,Yes,Yes_49-54,Below College,High,6-11 km,0-1,6–10 yrs,No
37,Travel_Rarely,Research & Development,2,2,Other,4,Male,2,1,Laboratory Technician,3,Single,2090,6,Yes,3,2,0,7,3,3,0,0,0,0,34-38,1k-5k,6281.252861602497,0.3327361668205141,Below Avg,Male_Single,,Yes,Yes_34-38,College,Very High,0-5 km,6+,0–2 yrs,Yes
33,Travel_Frequently,Research & Development,3,4,Life Sciences,4,Female,3,1,Research Scientist,3,Married,2909,1,Yes,3,3,0,8,3,3,8,7,3,0,29-33,1k-5k,6281.252861602497,0.4631241671200361,Below Avg,Female_Married,6-8 yrs,No,No_29-33,Masters,Very High,0-5 km,0-1,0–2 yrs,No
27,Travel_Rarely,Research & Development,2,1,Medical,1,Male,3,1,Laboratory Technician,2,Married,3468,9,No,3,4,1,6,3,3,2,2,2,2,24-28,1k-5k,6281.252861602497,0.5521191514514558,Below Avg,Male_Married,0-2 yrs,Yes,Yes_24-28,Below College,Low,0-5 km,6+,0–2 yrs,No
32,Travel_Frequently,Research & Development,2,2,Life Sciences,4,Male,3,1,Laboratory Technician,4,Single,3068,0,No,3,3,0,8,2,2,7,7,3,6,29-33,1k-5k,6281.252861602497,0.4884375884236063,Below Avg,Male_Single,6-8 yrs,No,No_29-33,College,Very High,0-5 km,,6–10 yrs,No
30,Travel_Rarely,Research & Development,24,1,Life Sciences,4,Male,3,1,Laboratory Technician,3,Divorced,2693,1,No,4,2,1,1,2,3,1,0,0,0,29-33,1k-5k,6281.252861602497,0.4287361230849973,Below Avg,Male_Divorced,,Yes,Yes_29-33,Below College,Very High,18+ km,0-1,0–2 yrs,No
38,Travel_Frequently,Research & Development,23,3,Life Sciences,4,Male,2,3,Manufacturing Director,3,Single,9526,0,No,4,2,0,10,2,3,9,7,1,8,34-38,6k-10k,6281.252861602497,1.5165764235082377,Above Avg,Male_Single,6-8 yrs,Yes,Yes_34-38,Bachelors,Very High,18+ km,,6–10 yrs,No
36,Travel_Rarely,Research & Development,27,3,Medical,3,Male,3,2,Healthcare Representative,3,Married,5237,6,No,3,2,2,17,3,2,7,7,7,7,34-38,6k-10k,6281.252861602497,0.8337508639421207,Below Avg,Male_Married,6-8 yrs,No,No_34-38,Bachelors,High,18+ km,6+,6–10 yrs,No
35,Travel_Rarely,Research & Development,16,3,Medical,1,Male,4,1,Laboratory Technician,2,Married,2426,0,No,3,3,1,6,5,3,5,4,0,3,34-38,1k-5k,6281.252861602497,0.38622867976390773,Below Avg,Male_Married,3-5 yrs,Yes,Yes_34-38,Bachelors,Low,12-17 km,,3–5 yrs,No
29,Travel_Rarely,Research & Development,15,2,Life Sciences,4,Female,2,2,Laboratory Technician,3,Single,4193,0,Yes,3,4,0,10,3,3,9,5,0,8,29-33,1k-5k,6281.252861602497,0.6675419844394332,Below Avg,Female_Single,3-5 yrs,Yes,Yes_29-33,College,Very High,12-17 km,,6–10 yrs,No
31,Travel_Rarely,Research & Development,26,1,Life Sciences,1,Male,3,1,Research Scientist,3,Divorced,2911,1,No,3,4,1,5,1,2,5,2,4,3,29-33,1k-5k,6281.252861602497,0.4634425749351753,Below Avg,Male_Divorced,0-2 yrs,No,No_29-33,Below College,Low,18+ km,0-1,3–5 yrs,No
34,Travel_Rarely,Research & Development,19,2,Medical,2,Male,3,1,Laboratory Technician,4,Divorced,2661,0,No,3,3,1,3,2,3,2,2,1,2,34-38,1k-5k,6281.252861602497,0.42364159804276935,Below Avg,Male_Divorced,0-2 yrs,Yes,Yes_34-38,College,Medium,18+ km,,0–2 yrs,No
28,Travel_Rarely,Research & Development,24,3,Life Sciences,3,Male,2,1,Laboratory Technician,3,Single,2028,5,Yes,3,2,0,6,4,3,4,2,0,3,24-28,1k-5k,6281.252861602497,0.3228655245511974,Below Avg,Male_Single,0-2 yrs,Yes,Yes_24-28,Bachelors,High,18+ km,4-5,3–5 yrs,Yes
29,Travel_Rarely,Research & Development,21,4,Life Sciences,2,Female,4,3,Manufacturing Director,1,Divorced,9980,1,No,3,3,1,10,1,3,10,9,8,8,29-33,6k-10k,6281.252861602497,1.5888549975448472,Above Avg,Female_Divorced,9-11 yrs,No,No_29-33,Masters,Medium,18+ km,0-1,6–10 yrs,No
32,Travel_Rarely,Research & Development,5,2,Life Sciences,1,Male,4,1,Research Scientist,2,Divorced,3298,0,Yes,3,4,2,7,5,2,6,2,0,5,29-33,1k-5k,6281.252861602497,0.5250544871646198,Below Avg,Male_Divorced,0-2 yrs,Yes,Yes_29-33,College,Low,0-5 km,,3–5 yrs,No
22,Non-Travel,Research & Development,16,2,Medical,4,Male,4,1,Laboratory Technician,4,Divorced,2935,1,Yes,3,2,2,1,2,2,1,0,0,0,18-23,1k-5k,6281.252861602497,0.4672634687168463,Below Avg,Male_Divorced,,Yes,Yes_18-23,College,Very High,12-17 km,0-1,0–2 yrs,No
53,Travel_Rarely,Sales,2,4,Life Sciences,1,Female,2,4,Manager,4,Married,15427,2,No,3,3,0,31,3,3,25,8,3,7,49-54,16k-20k,6959.17264573991,2.2167865039881876,Above Avg,Female_Married,6-8 yrs,No,No_49-54,Masters,Low,0-5 km,2-3,6–10 yrs,No
